"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
12210,http://www.wikidata.org/entity/Q1731012,physicist,university-teacher,chemist,NA,NA,NA,12210,
12211,http://www.wikidata.org/entity/Q1731037,physicist,mathematician,pedagogue,physics,mathematics,geometry,12211,
12212,http://www.wikidata.org/entity/Q1731180,physicist,university-teacher,NA,NA,NA,NA,12212,
12213,http://www.wikidata.org/entity/Q1731257,astronomer,astrophysicist,NA,NA,NA,NA,12213,
12214,http://www.wikidata.org/entity/Q1731451,physicist,NA,NA,NA,NA,NA,12214,
12215,http://www.wikidata.org/entity/Q17314933,physicist,NA,NA,NA,NA,NA,12215,
12216,http://www.wikidata.org/entity/Q1731539,physicist,computer-scientist,NA,health-informatics,computer-graphics,NA,12216,
12217,http://www.wikidata.org/entity/Q17315716,physicist,university-teacher,writer,NA,NA,NA,12217,
12218,http://www.wikidata.org/entity/Q17315737,astronomer,painter,NA,NA,NA,NA,12218,
12219,http://www.wikidata.org/entity/Q1731619,physicist,university-teacher,NA,NA,NA,NA,12219,
12220,http://www.wikidata.org/entity/Q1731625,NA,mathematician,teacher,physics,mathematics,mathematical-finance,12220,
12221,http://www.wikidata.org/entity/Q1731629,astronomer,university-teacher,NA,astronomy,theoretical-astronomy,NA,12221,
12222,http://www.wikidata.org/entity/Q1731800,physicist,university-teacher,NA,NA,NA,NA,12222,
12223,http://www.wikidata.org/entity/Q17319109,astronomer,university-teacher,mathematician,NA,NA,NA,12223,
12224,http://www.wikidata.org/entity/Q17320399,physicist,engineer,NA,NA,NA,NA,12224,
12225,http://www.wikidata.org/entity/Q17320649,astronomer,NA,NA,NA,NA,NA,12225,
12226,http://www.wikidata.org/entity/Q1732109,physicist,NA,NA,NA,NA,NA,12226,
12227,http://www.wikidata.org/entity/Q1732114,astronomer,entrepreneur,NA,NA,NA,NA,12227,
12228,http://www.wikidata.org/entity/Q17321223,physicist,university-teacher,NA,biophysics,statistical-physics,material,12228,
12229,http://www.wikidata.org/entity/Q17322115,physicist,university-teacher,NA,NA,NA,NA,12229,
12230,http://www.wikidata.org/entity/Q17322422,physicist,university-teacher,computer-scientist,gender-studies,NA,NA,12230,
12231,http://www.wikidata.org/entity/Q17322599,physicist,university-teacher,NA,NA,NA,NA,12231,
12232,http://www.wikidata.org/entity/Q1732261,physicist,university-teacher,meteorologist,NA,NA,NA,12232,
12233,http://www.wikidata.org/entity/Q1732303,astronomer,researcher,NA,NA,NA,NA,12233,
12234,http://www.wikidata.org/entity/Q1732597,physicist,non-fiction-writer,author,NA,NA,NA,12234,
12235,http://www.wikidata.org/entity/Q1732640,physicist,university-teacher,NA,NA,NA,NA,12235,
12236,http://www.wikidata.org/entity/Q1732671,physicist,optician,NA,metallography,dark-field-microscopy,fluorescence-microscope,12236,
12237,http://www.wikidata.org/entity/Q17329138,physicist,mathematician,historian-of-science,NA,NA,NA,12237,
12238,http://www.wikidata.org/entity/Q17329151,astronomer,NA,NA,NA,NA,NA,12238,
12239,http://www.wikidata.org/entity/Q1732981,astronomer,writer,NA,NA,NA,NA,12239,
12240,http://www.wikidata.org/entity/Q1733149,astronomer,university-teacher,mathematician,mathematics,NA,NA,12240,
12241,http://www.wikidata.org/entity/Q1733217,physicist,university-teacher,NA,NA,NA,NA,12241,
12242,http://www.wikidata.org/entity/Q17332264,physicist,NA,NA,NA,NA,NA,12242,
12243,http://www.wikidata.org/entity/Q1733695,NA,politician,diplomat,astronomy,NA,NA,12243,
12244,http://www.wikidata.org/entity/Q1733815,physicist,university-teacher,nuclear-physicist,NA,NA,NA,12244,
12245,http://www.wikidata.org/entity/Q1733839,physicist,university-teacher,NA,NA,NA,NA,12245,
12246,http://www.wikidata.org/entity/Q17338980,astronomer,university-teacher,surveyor,astronomy,space-research,planetary-nebula,12246,
12247,http://www.wikidata.org/entity/Q17350089,astronomer,mathematician,historian,astronomy,NA,NA,12247,
12248,http://www.wikidata.org/entity/Q17350165,physicist,chemist,mineralogist,NA,NA,NA,12248,
12249,http://www.wikidata.org/entity/Q17351375,astronomer,researcher,NA,NA,NA,NA,12249,
12250,http://www.wikidata.org/entity/Q17352719,physicist,NA,NA,NA,NA,NA,12250,
12251,http://www.wikidata.org/entity/Q17352989,physicist,university-teacher,mathematician,physics,mathematics,history-of-science,12251,
12252,http://www.wikidata.org/entity/Q17355015,physicist,university-teacher,NA,NA,NA,NA,12252,
12253,http://www.wikidata.org/entity/Q1735870,physicist,university-teacher,crystallographer,NA,NA,NA,12253,
12254,http://www.wikidata.org/entity/Q17361312,physicist,NA,NA,NA,NA,NA,12254,
12255,http://www.wikidata.org/entity/Q17361947,physicist,NA,NA,NA,NA,NA,12255,
12256,http://www.wikidata.org/entity/Q17362290,physicist,politician,NA,NA,NA,NA,12256,
12257,http://www.wikidata.org/entity/Q17362484,physicist,NA,NA,theoretical-physics,NA,NA,12257,
12258,http://www.wikidata.org/entity/Q17364083,physicist,university-teacher,engineer,NA,NA,NA,12258,
12259,http://www.wikidata.org/entity/Q17364086,physicist,university-teacher,astrophysicist,NA,NA,NA,12259,
12260,http://www.wikidata.org/entity/Q1736696,physicist,university-teacher,NA,theoretical-physics,NA,NA,12260,
12261,http://www.wikidata.org/entity/Q1736765,physicist,mathematician,NA,NA,NA,NA,12261,
12262,http://www.wikidata.org/entity/Q17371680,physicist,NA,NA,NA,NA,NA,12262,
12263,http://www.wikidata.org/entity/Q17371716,physicist,docent,NA,theoretical-physics,NA,NA,12263,
12264,http://www.wikidata.org/entity/Q17378155,astronomer,researcher,science-communicator,astronomy,light-pollution,NA,12264,
12265,http://www.wikidata.org/entity/Q1737883,physicist,university-teacher,NA,NA,NA,NA,12265,
12266,http://www.wikidata.org/entity/Q17380226,astronomer,NA,NA,astronomy,NA,NA,12266,
12267,http://www.wikidata.org/entity/Q17380924,physicist,university-teacher,NA,nuclear-physics,solid-state-physics,NA,12267,
12268,http://www.wikidata.org/entity/Q1738094,physicist,university-teacher,NA,NA,NA,NA,12268,
12269,http://www.wikidata.org/entity/Q17381016,astronomer,NA,NA,astronomy,astrophysics,theory-of-relativity,12269,
12270,http://www.wikidata.org/entity/Q17381790,physicist,university-teacher,NA,physics,NA,NA,12270,
12271,http://www.wikidata.org/entity/Q17381900,physicist,NA,NA,NA,NA,NA,12271,
12272,http://www.wikidata.org/entity/Q17382382,astronomer,professor,NA,NA,NA,NA,12272,
12273,http://www.wikidata.org/entity/Q17382418,physicist,NA,NA,NA,NA,NA,12273,
12274,http://www.wikidata.org/entity/Q17383396,physicist,NA,NA,NA,NA,NA,12274,
12275,http://www.wikidata.org/entity/Q17384112,physicist,NA,NA,NA,NA,NA,12275,
12276,http://www.wikidata.org/entity/Q17385144,physicist,NA,NA,physics,solid-state-physics,NA,12276,
12277,http://www.wikidata.org/entity/Q17385816,physicist,university-teacher,neuroscientist,neuroscience,cognitive-science,NA,12277,
12278,http://www.wikidata.org/entity/Q17385930,astronomer,astrophysicist,NA,NA,NA,NA,12278,
12279,http://www.wikidata.org/entity/Q17386411,physicist,university-teacher,NA,nonlinear-optics,NA,NA,12279,
12280,http://www.wikidata.org/entity/Q17386621,NA,astrophysicist,NA,physics,NA,NA,12280,
12281,http://www.wikidata.org/entity/Q17388593,physicist,university-teacher,NA,NA,NA,NA,12281,
12282,http://www.wikidata.org/entity/Q1738861,physicist,university-teacher,author,theoretical-physics,NA,NA,12282,
12283,http://www.wikidata.org/entity/Q1738866,physicist,NA,NA,NA,NA,NA,12283,
12284,http://www.wikidata.org/entity/Q1738900,physicist,NA,NA,NA,NA,NA,12284,
12285,http://www.wikidata.org/entity/Q1738910,physicist,biophysicist,NA,NA,NA,NA,12285,
12286,http://www.wikidata.org/entity/Q1738916,physicist,nuclear-physicist,oceanographer,theoretical-physics,NA,NA,12286,
12287,http://www.wikidata.org/entity/Q1739441,physicist,university-teacher,NA,NA,NA,NA,12287,
12288,http://www.wikidata.org/entity/Q17395359,physicist,nuclear-physicist,computer-scientist,NA,NA,NA,12288,
12289,http://www.wikidata.org/entity/Q17400792,physicist,NA,NA,NA,NA,NA,12289,
12290,http://www.wikidata.org/entity/Q17402228,physicist,university-teacher,mathematician,NA,NA,NA,12290,
12291,http://www.wikidata.org/entity/Q17402295,physicist,university-teacher,opinion-journalist,NA,NA,NA,12291,
12292,http://www.wikidata.org/entity/Q17403680,physicist,NA,NA,NA,NA,NA,12292,
12293,http://www.wikidata.org/entity/Q17403701,physicist,NA,NA,NA,NA,NA,12293,
12294,http://www.wikidata.org/entity/Q17403717,physicist,NA,NA,physicist,NA,NA,12294,
12295,http://www.wikidata.org/entity/Q17403722,physicist,engineer,NA,NA,NA,NA,12295,
12296,http://www.wikidata.org/entity/Q17409219,physicist,NA,NA,NA,NA,NA,12296,
12297,http://www.wikidata.org/entity/Q1740977,astronomer,writer,photographer,NA,NA,NA,12297,
12298,http://www.wikidata.org/entity/Q17411693,physicist,NA,NA,NA,NA,NA,12298,
12299,http://www.wikidata.org/entity/Q17413892,physicist,systems-analyst,NA,NA,NA,NA,12299,
12300,http://www.wikidata.org/entity/Q1741612,physicist,university-teacher,NA,NA,NA,NA,12300,
12301,http://www.wikidata.org/entity/Q17417773,physicist,university-teacher,writer,physics,linguistics,NA,12301,
12302,http://www.wikidata.org/entity/Q17417872,physicist,writer,NA,NA,NA,NA,12302,
12303,http://www.wikidata.org/entity/Q17417998,astronomer,NA,NA,NA,NA,NA,12303,
12304,http://www.wikidata.org/entity/Q17418053,physicist,university-teacher,NA,NA,NA,NA,12304,
12305,http://www.wikidata.org/entity/Q17418273,physicist,university-teacher,chemist,NA,NA,NA,12305,
12306,http://www.wikidata.org/entity/Q17418317,astronomer,NA,NA,NA,NA,NA,12306,
12307,http://www.wikidata.org/entity/Q1742630,physicist,NA,NA,NA,NA,NA,12307,
12308,http://www.wikidata.org/entity/Q17426435,physicist,NA,NA,NA,NA,NA,12308,
12309,http://www.wikidata.org/entity/Q17426686,physicist,NA,NA,NA,NA,NA,12309,
12310,http://www.wikidata.org/entity/Q17426891,physicist,NA,NA,physics,magnetism,semiconductor,12310,
12311,http://www.wikidata.org/entity/Q17427011,physicist,NA,NA,NA,NA,NA,12311,
12312,http://www.wikidata.org/entity/Q17427552,physicist,university-teacher,NA,aeromechanics,NA,NA,12312,
12313,http://www.wikidata.org/entity/Q17427606,physicist,economist,NA,NA,NA,NA,12313,
12314,http://www.wikidata.org/entity/Q17427681,physicist,university-teacher,NA,theoretical-physics,nuclear-physics,mathematical-physics,12314,
12315,http://www.wikidata.org/entity/Q17427760,astronomer,NA,NA,NA,NA,NA,12315,
12316,http://www.wikidata.org/entity/Q17431820,physicist,NA,NA,NA,NA,NA,12316,
12317,http://www.wikidata.org/entity/Q17431918,physicist,NA,NA,NA,NA,NA,12317,
12318,http://www.wikidata.org/entity/Q1744047,physicist,university-teacher,NA,physics,NA,NA,12318,
12319,http://www.wikidata.org/entity/Q1744292,physicist,university-teacher,astrophysicist,physics,theoretical-physics,astrophysics,12319,
12320,http://www.wikidata.org/entity/Q1744441,physicist,university-teacher,NA,NA,NA,NA,12320,
12321,http://www.wikidata.org/entity/Q17447254,physicist,politician,teacher,NA,NA,NA,12321,
12322,http://www.wikidata.org/entity/Q1744842,physicist,university-teacher,engineer,NA,NA,NA,12322,
12323,http://www.wikidata.org/entity/Q1745013,physicist,university-teacher,NA,NA,NA,NA,12323,
12324,http://www.wikidata.org/entity/Q1745095,physicist,university-teacher,NA,theoretical-physics,NA,NA,12324,
12325,http://www.wikidata.org/entity/Q1745115,physicist,nuclear-physicist,NA,NA,NA,NA,12325,
12326,http://www.wikidata.org/entity/Q1745134,physicist,university-teacher,NA,NA,NA,NA,12326,
12327,http://www.wikidata.org/entity/Q1745165,physicist,NA,NA,NA,NA,NA,12327,
12328,http://www.wikidata.org/entity/Q1745204,physicist,university-teacher,NA,NA,NA,NA,12328,
12329,http://www.wikidata.org/entity/Q17452508,physicist,NA,NA,NA,NA,NA,12329,
12330,http://www.wikidata.org/entity/Q1745292,astronomer,astrophysicist,NA,NA,NA,NA,12330,
12331,http://www.wikidata.org/entity/Q17453051,physicist,university-teacher,politician,NA,NA,NA,12331,
12332,http://www.wikidata.org/entity/Q1745316,physicist,NA,NA,NA,NA,NA,12332,
12333,http://www.wikidata.org/entity/Q1745355,physicist,university-teacher,philosopher,NA,NA,NA,12333,
12334,http://www.wikidata.org/entity/Q1745451,physicist,university-teacher,NA,NA,NA,NA,12334,
12335,http://www.wikidata.org/entity/Q1745454,physicist,university-teacher,politician,NA,NA,NA,12335,
12336,http://www.wikidata.org/entity/Q17455,physicist,university-teacher,mathematician,physics,mathematics,quantum-physics,12336,
12337,http://www.wikidata.org/entity/Q1745567,physicist,university-teacher,NA,NA,NA,NA,12337,
12338,http://www.wikidata.org/entity/Q1745583,physicist,university-teacher,NA,NA,NA,NA,12338,
12339,http://www.wikidata.org/entity/Q1745617,physicist,university-teacher,NA,NA,NA,NA,12339,
12340,http://www.wikidata.org/entity/Q17461983,astronomer,NA,NA,NA,NA,NA,12340,
12341,http://www.wikidata.org/entity/Q17465658,physicist,NA,NA,NA,NA,NA,12341,
12342,http://www.wikidata.org/entity/Q17465801,physicist,NA,NA,NA,NA,NA,12342,
12343,http://www.wikidata.org/entity/Q17466737,physicist,academic,NA,NA,NA,NA,12343,
12344,http://www.wikidata.org/entity/Q17466803,astronomer,university-teacher,mineralogist,geology,astrology,NA,12344,
12345,http://www.wikidata.org/entity/Q1747039,physicist,university-teacher,NA,NA,NA,NA,12345,
12346,http://www.wikidata.org/entity/Q1747064,physicist,university-teacher,NA,NA,NA,NA,12346,
12347,http://www.wikidata.org/entity/Q1747231,physicist,inventor,geophysicist,geophysics,NA,NA,12347,
12348,http://www.wikidata.org/entity/Q1747402,physicist,university-teacher,NA,NA,NA,NA,12348,
12349,http://www.wikidata.org/entity/Q17478717,physicist,NA,NA,NA,NA,NA,12349,
12350,http://www.wikidata.org/entity/Q17479563,physicist,NA,NA,NA,NA,NA,12350,
12351,http://www.wikidata.org/entity/Q1748291,physicist,historian-of-science,NA,history-of-science,NA,NA,12351,
12352,http://www.wikidata.org/entity/Q1748303,physicist,mathematician,philosopher,NA,NA,NA,12352,
12353,http://www.wikidata.org/entity/Q17485931,physicist,researcher,chemist,NA,NA,NA,12353,
12354,http://www.wikidata.org/entity/Q17488203,physicist,writer,philosopher,NA,NA,NA,12354,
12355,http://www.wikidata.org/entity/Q17489114,physicist,mathematician,NA,NA,NA,NA,12355,
12356,http://www.wikidata.org/entity/Q17489997,physicist,university-teacher,mathematician,probability-theory,statistics,bioinformatics,12356,
12357,http://www.wikidata.org/entity/Q174920,physicist,NA,NA,NA,NA,NA,12357,
12358,http://www.wikidata.org/entity/Q17492427,physicist,writer,NA,NA,NA,NA,12358,
12359,http://www.wikidata.org/entity/Q17493364,physicist,university-teacher,NA,NA,NA,NA,12359,
12360,http://www.wikidata.org/entity/Q17496532,physicist,NA,NA,NA,NA,NA,12360,
12361,http://www.wikidata.org/entity/Q1750022,physicist,university-teacher,nuclear-physicist,NA,NA,NA,12361,
12362,http://www.wikidata.org/entity/Q17511158,physicist,NA,NA,NA,NA,NA,12362,
12363,http://www.wikidata.org/entity/Q17511298,physicist,NA,NA,physics,medical-physics,nuclear-medicine,12363,
12364,http://www.wikidata.org/entity/Q17513054,physicist,NA,NA,NA,NA,NA,12364,
12365,http://www.wikidata.org/entity/Q17515324,physicist,NA,NA,NA,NA,NA,12365,
12366,http://www.wikidata.org/entity/Q17515426,physicist,chemist,academic,NA,NA,NA,12366,
12367,http://www.wikidata.org/entity/Q17516565,physicist,university-teacher,NA,physics,optics,education,12367,
12368,http://www.wikidata.org/entity/Q17517195,NA,biologist,astrobiologist,astronomy,astrobiology,NA,12368,
12369,http://www.wikidata.org/entity/Q1751751,physicist,university-teacher,writer,physics,NA,NA,12369,
12370,http://www.wikidata.org/entity/Q17519,astronomer,engineer,businessperson,NA,NA,NA,12370,
12371,http://www.wikidata.org/entity/Q17521164,physicist,university-teacher,theoretical-physicist,supergravity,noncommutative-geometry,NA,12371,
12372,http://www.wikidata.org/entity/Q17521573,physicist,university-teacher,NA,NA,NA,NA,12372,
12373,http://www.wikidata.org/entity/Q17522,physicist,mathematician,writer,mathematics,medicine,engineering,12373,
12374,http://www.wikidata.org/entity/Q17523717,astronomer,NA,NA,NA,NA,NA,12374,
12375,http://www.wikidata.org/entity/Q17523886,physicist,scientist,NA,physics,optics,photonics,12375,
12376,http://www.wikidata.org/entity/Q1752663,physicist,university-teacher,NA,NA,NA,NA,12376,
12377,http://www.wikidata.org/entity/Q1752871,physicist,NA,NA,NA,NA,NA,12377,
12378,http://www.wikidata.org/entity/Q17534352,astronomer,NA,NA,NA,NA,NA,12378,
12379,http://www.wikidata.org/entity/Q17540265,physicist,university-teacher,chemist,NA,NA,NA,12379,
12380,http://www.wikidata.org/entity/Q175519,physicist,university-teacher,chemist,chemistry,NA,NA,12380,
12381,http://www.wikidata.org/entity/Q1755564,physicist,theoretical-physicist,NA,NA,NA,NA,12381,
12382,http://www.wikidata.org/entity/Q17560617,physicist,university-teacher,scientist,physics,tribotechnics,nanomechanics,12382,
12383,http://www.wikidata.org/entity/Q17561813,astronomer,NA,NA,NA,NA,NA,12383,
12384,http://www.wikidata.org/entity/Q17572741,physicist,NA,NA,physics,physicist,NA,12384,
12385,http://www.wikidata.org/entity/Q17575823,physicist,university-teacher,NA,NA,NA,NA,12385,
12386,http://www.wikidata.org/entity/Q17576557,physicist,university-teacher,NA,NA,NA,NA,12386,
12387,http://www.wikidata.org/entity/Q17577125,physicist,university-teacher,NA,NA,NA,NA,12387,
12388,http://www.wikidata.org/entity/Q17578789,physicist,NA,NA,NA,NA,NA,12388,
12389,http://www.wikidata.org/entity/Q17580053,physicist,university-teacher,inventor,NA,NA,NA,12389,
12390,http://www.wikidata.org/entity/Q17581383,physicist,NA,NA,nuclear-physics,physicist,NA,12390,
12391,http://www.wikidata.org/entity/Q17582939,physicist,NA,NA,physical-chemistry,NA,NA,12391,
12392,http://www.wikidata.org/entity/Q1758410,physicist,university-teacher,mathematician,physics,mathematics,aerodynamics,12392,
12393,http://www.wikidata.org/entity/Q1759109,physicist,engineer,cryptologist,NA,NA,NA,12393,
12394,http://www.wikidata.org/entity/Q17591570,physicist,university-teacher,NA,NA,NA,NA,12394,
12395,http://www.wikidata.org/entity/Q17591580,physicist,university-teacher,NA,NA,NA,NA,12395,
12396,http://www.wikidata.org/entity/Q17591582,physicist,university-teacher,NA,NA,NA,NA,12396,
12397,http://www.wikidata.org/entity/Q17593778,physicist,NA,NA,NA,NA,NA,12397,
12398,http://www.wikidata.org/entity/Q17593896,astronomer,NA,NA,NA,NA,NA,12398,
12399,http://www.wikidata.org/entity/Q17605255,physicist,university-teacher,NA,physics,nuclear-physics,particle-physics,12399,
12400,http://www.wikidata.org/entity/Q1760743,physicist,NA,NA,physicist,NA,NA,12400,
12401,http://www.wikidata.org/entity/Q17617426,physicist,NA,NA,physics,NA,NA,12401,
12402,http://www.wikidata.org/entity/Q17617575,physicist,NA,NA,NA,NA,NA,12402,
12403,http://www.wikidata.org/entity/Q17617577,physicist,NA,NA,physics,nuclear-physics,NA,12403,
12404,http://www.wikidata.org/entity/Q17617580,physicist,NA,NA,physics,NA,NA,12404,
12405,http://www.wikidata.org/entity/Q17617584,physicist,mathematician,NA,information-technology,NA,NA,12405,
12406,http://www.wikidata.org/entity/Q17617585,physicist,NA,NA,applied-physics,metrology,NA,12406,
12407,http://www.wikidata.org/entity/Q17617587,physicist,mathematician,NA,NA,NA,NA,12407,
12408,http://www.wikidata.org/entity/Q17617590,physicist,NA,NA,physics,NA,NA,12408,
12409,http://www.wikidata.org/entity/Q17617591,physicist,university-teacher,chemist,spectroscopy,crystallography,mineralogy,12409,
12410,http://www.wikidata.org/entity/Q176176,physicist,university-teacher,mathematician,chaos-theory,differential-calculus,system-dynamics,12410,
12411,http://www.wikidata.org/entity/Q17617618,physicist,NA,NA,NA,NA,NA,12411,
12412,http://www.wikidata.org/entity/Q17619548,physicist,NA,NA,semiconductor-physics,NA,NA,12412,
12413,http://www.wikidata.org/entity/Q17619550,NA,scientist,science-communicator,physics,energy-industry,research-and-development,12413,
12414,http://www.wikidata.org/entity/Q17619563,astronomer,NA,NA,astrometry,NA,NA,12414,
12415,http://www.wikidata.org/entity/Q17619587,physicist,NA,NA,physics,NA,NA,12415,
12416,http://www.wikidata.org/entity/Q17619588,physicist,thermophysicist,NA,NA,NA,NA,12416,
12417,http://www.wikidata.org/entity/Q17619589,physicist,NA,NA,physics,NA,NA,12417,
12418,http://www.wikidata.org/entity/Q17619592,physicist,NA,NA,physics,NA,NA,12418,
12419,http://www.wikidata.org/entity/Q17619598,physicist,NA,NA,NA,NA,NA,12419,
12420,http://www.wikidata.org/entity/Q17626833,physicist,NA,NA,NA,NA,NA,12420,
12421,http://www.wikidata.org/entity/Q17626959,physicist,NA,NA,molecular-physics,NA,NA,12421,
12422,http://www.wikidata.org/entity/Q17630857,physicist,physician,botanist,NA,NA,NA,12422,
12423,http://www.wikidata.org/entity/Q1763248,physicist,university-teacher,NA,particle-physics,NA,NA,12423,
12424,http://www.wikidata.org/entity/Q1763302,physicist,university-teacher,historian,physics,history-of-science,NA,12424,
12425,http://www.wikidata.org/entity/Q176351,physicist,university-teacher,engineer,physical-chemistry,polymer-science,NA,12425,
12426,http://www.wikidata.org/entity/Q17635862,physicist,mathematician,NA,physics,NA,NA,12426,
12427,http://www.wikidata.org/entity/Q17636213,astronomer,NA,NA,NA,NA,NA,12427,
12428,http://www.wikidata.org/entity/Q17641297,physicist,NA,NA,geophysics,meteorology,NA,12428,
12429,http://www.wikidata.org/entity/Q1764138,physicist,NA,NA,NA,NA,NA,12429,
12430,http://www.wikidata.org/entity/Q17648074,physicist,chemist,NA,chemistry,NA,NA,12430,
12431,http://www.wikidata.org/entity/Q17648202,physicist,philosopher,poet,NA,NA,NA,12431,
12432,http://www.wikidata.org/entity/Q17659210,physicist,researcher,astrophysicist,astrophysics,NA,NA,12432,
12433,http://www.wikidata.org/entity/Q176594,astronomer,anthropologist,NA,NA,NA,NA,12433,
12434,http://www.wikidata.org/entity/Q17674801,physicist,NA,NA,radiophysics,acoustics,NA,12434,
12435,http://www.wikidata.org/entity/Q17674894,physicist,NA,NA,NA,NA,NA,12435,
12436,http://www.wikidata.org/entity/Q17675133,physicist,NA,NA,NA,NA,NA,12436,
12437,http://www.wikidata.org/entity/Q17675145,physicist,researcher,NA,NA,NA,NA,12437,
12438,http://www.wikidata.org/entity/Q17675463,physicist,NA,NA,NA,NA,NA,12438,
12439,http://www.wikidata.org/entity/Q17675737,physicist,NA,NA,optics,laser-science,soliton,12439,
12440,http://www.wikidata.org/entity/Q17675779,physicist,NA,NA,NA,NA,NA,12440,
12441,http://www.wikidata.org/entity/Q17679586,physicist,NA,NA,NA,NA,NA,12441,
12442,http://www.wikidata.org/entity/Q17683236,physicist,university-teacher,NA,NA,NA,NA,12442,
12443,http://www.wikidata.org/entity/Q17683530,physicist,NA,NA,NA,NA,NA,12443,
12444,http://www.wikidata.org/entity/Q17685813,physicist,university-teacher,NA,NA,NA,NA,12444,
12445,http://www.wikidata.org/entity/Q176894,physicist,engineer,mechanician,explosives-engineering,NA,NA,12445,
12446,http://www.wikidata.org/entity/Q1769450,physicist,university-teacher,NA,NA,NA,NA,12446,
12447,http://www.wikidata.org/entity/Q1770075,physicist,NA,NA,NA,NA,NA,12447,
12448,http://www.wikidata.org/entity/Q1770174,physicist,university-teacher,NA,NA,NA,NA,12448,
12449,http://www.wikidata.org/entity/Q1770175,physicist,university-teacher,NA,NA,NA,NA,12449,
12450,http://www.wikidata.org/entity/Q1771160,physicist,university-teacher,NA,NA,NA,NA,12450,
12451,http://www.wikidata.org/entity/Q17711697,astronomer,professor,NA,NA,NA,NA,12451,
12452,http://www.wikidata.org/entity/Q17711900,astronomer,astrophysicist,NA,NA,NA,NA,12452,
12453,http://www.wikidata.org/entity/Q1771788,physicist,university-teacher,philosopher,NA,NA,NA,12453,
12454,http://www.wikidata.org/entity/Q177186,astronomer,NA,NA,astronomy,NA,NA,12454,
12455,http://www.wikidata.org/entity/Q1772113,physicist,engineer,inventor,NA,NA,NA,12455,
12456,http://www.wikidata.org/entity/Q17721471,physicist,NA,NA,physics,NA,NA,12456,
12457,http://www.wikidata.org/entity/Q17721502,physicist,NA,NA,physics,NA,NA,12457,
12458,http://www.wikidata.org/entity/Q1773702,astronomer,university-teacher,mathematician,NA,NA,NA,12458,
12459,http://www.wikidata.org/entity/Q1774238,physicist,nuclear-physicist,NA,NA,NA,NA,12459,
12460,http://www.wikidata.org/entity/Q17747649,physicist,university-teacher,nuclear-physicist,NA,NA,NA,12460,
12461,http://www.wikidata.org/entity/Q17747833,physicist,university-teacher,NA,NA,NA,NA,12461,
12462,http://www.wikidata.org/entity/Q1776528,physicist,university-teacher,politician,NA,NA,NA,12462,
12463,http://www.wikidata.org/entity/Q177709,physicist,crystallographer,NA,NA,NA,NA,12463,
12464,http://www.wikidata.org/entity/Q1778558,astronomer,NA,NA,NA,NA,NA,12464,
12465,http://www.wikidata.org/entity/Q1778802,astronomer,astrophysicist,NA,NA,NA,NA,12465,
12466,http://www.wikidata.org/entity/Q1779197,physicist,university-teacher,NA,NA,NA,NA,12466,
12467,http://www.wikidata.org/entity/Q1779212,physicist,university-teacher,NA,NA,NA,NA,12467,
12468,http://www.wikidata.org/entity/Q17794313,astronomer,mathematician,NA,NA,NA,NA,12468,
12469,http://www.wikidata.org/entity/Q177995,astronomer,NA,NA,astronomy,NA,NA,12469,
12470,http://www.wikidata.org/entity/Q178000,physicist,university-teacher,politician,NA,NA,NA,12470,
12471,http://www.wikidata.org/entity/Q1780811,astronomer,NA,NA,NA,NA,NA,12471,
12472,http://www.wikidata.org/entity/Q178103,physicist,university-teacher,nuclear-physicist,physics,NA,NA,12472,
12473,http://www.wikidata.org/entity/Q1782155,physicist,university-teacher,NA,NA,NA,NA,12473,
12474,http://www.wikidata.org/entity/Q1782290,physicist,university-teacher,NA,NA,NA,NA,12474,
12475,http://www.wikidata.org/entity/Q1782489,astronomer,university-teacher,NA,NA,NA,NA,12475,
12476,http://www.wikidata.org/entity/Q1782684,physicist,university-teacher,NA,theoretical-physics,NA,NA,12476,
12477,http://www.wikidata.org/entity/Q1782736,physicist,university-teacher,electrotechnician,physics,electrical-engineering,NA,12477,
12478,http://www.wikidata.org/entity/Q1783425,physicist,university-teacher,NA,NA,NA,NA,12478,
12479,http://www.wikidata.org/entity/Q178343,physicist,inventor,NA,NA,NA,NA,12479,
12480,http://www.wikidata.org/entity/Q178344,physicist,university-teacher,nuclear-physicist,physics,NA,NA,12480,
12481,http://www.wikidata.org/entity/Q178412,astronomer,university-teacher,mathematician,NA,NA,NA,12481,
12482,http://www.wikidata.org/entity/Q17853860,physicist,NA,NA,NA,NA,NA,12482,
12483,http://www.wikidata.org/entity/Q1785975,physicist,university-teacher,NA,NA,NA,NA,12483,
12484,http://www.wikidata.org/entity/Q17864516,physicist,diplomat,chargé-d'affaires,NA,NA,NA,12484,
12485,http://www.wikidata.org/entity/Q17865650,physicist,NA,NA,physics,NA,NA,12485,
12486,http://www.wikidata.org/entity/Q1788548,astronomer,university-teacher,astrophysicist,physics,astrophysics,nuclear-physics,12486,
12487,http://www.wikidata.org/entity/Q178916,physicist,university-teacher,NA,oceanography,NA,NA,12487,
12488,http://www.wikidata.org/entity/Q1790049,physicist,university-teacher,engineer,theoretical-mechanics,NA,NA,12488,
12489,http://www.wikidata.org/entity/Q17907843,physicist,engineer,writer,NA,NA,NA,12489,
