"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
208,http://www.wikidata.org/entity/Q102123134,physicist,university-teacher,mathematician,physics,mathematics,applied-mathematics,208,
209,http://www.wikidata.org/entity/Q102123146,physicist,NA,NA,NA,NA,NA,209,
210,http://www.wikidata.org/entity/Q102123149,physicist,NA,NA,NA,NA,NA,210,
211,http://www.wikidata.org/entity/Q102123226,physicist,mathematician,secondary-school-teacher,NA,NA,NA,211,
212,http://www.wikidata.org/entity/Q102123234,physicist,university-teacher,chemist,atomic-physics,theoretical-chemistry,NA,212,
213,http://www.wikidata.org/entity/Q102123462,astronomer,NA,NA,NA,NA,NA,213,
214,http://www.wikidata.org/entity/Q102123560,physicist,NA,NA,NA,NA,NA,214,
215,http://www.wikidata.org/entity/Q102123663,physicist,university-teacher,mathematician,physics,mathematics,mathematical-physics,215,
216,http://www.wikidata.org/entity/Q102123746,physicist,NA,NA,NA,NA,NA,216,
217,http://www.wikidata.org/entity/Q102123958,physicist,NA,NA,NA,NA,NA,217,
218,http://www.wikidata.org/entity/Q102124015,physicist,university-teacher,NA,NA,NA,NA,218,
219,http://www.wikidata.org/entity/Q102124069,physicist,NA,NA,NA,NA,NA,219,
220,http://www.wikidata.org/entity/Q102124182,physicist,NA,NA,NA,NA,NA,220,
221,http://www.wikidata.org/entity/Q102124573,physicist,astrophysicist,NA,NA,NA,NA,221,
222,http://www.wikidata.org/entity/Q102124608,physicist,university-teacher,NA,NA,NA,NA,222,
223,http://www.wikidata.org/entity/Q102124687,physicist,NA,NA,physics,mathematical-physics,NA,223,
224,http://www.wikidata.org/entity/Q102124688,physicist,NA,NA,NA,NA,NA,224,
225,http://www.wikidata.org/entity/Q102128330,physicist,university-teacher,mathematician,applied-physics,applied-mathematics,statistical-physics,225,
226,http://www.wikidata.org/entity/Q102128358,physicist,NA,NA,NA,NA,NA,226,
227,http://www.wikidata.org/entity/Q102129859,astronomer,university-teacher,mathematician,NA,NA,NA,227,
228,http://www.wikidata.org/entity/Q102130173,physicist,NA,NA,NA,NA,NA,228,
229,http://www.wikidata.org/entity/Q102130535,physicist,university-teacher,computer-scientist,NA,NA,NA,229,
230,http://www.wikidata.org/entity/Q102141637,physicist,theorist,NA,theoretical-physics,solid-state-physics,NA,230,
231,http://www.wikidata.org/entity/Q102144455,physicist,university-teacher,statistician,NA,NA,NA,231,
232,http://www.wikidata.org/entity/Q102147576,physicist,university-teacher,NA,NA,NA,NA,232,
233,http://www.wikidata.org/entity/Q102148831,astronomer,mathematician,NA,astronomy,mathematics,NA,233,
234,http://www.wikidata.org/entity/Q102149338,astronomer,mathematician,writer,NA,NA,NA,234,
235,http://www.wikidata.org/entity/Q102156210,physicist,mathematician,NA,NA,NA,NA,235,
236,http://www.wikidata.org/entity/Q102156237,physicist,mathematician,secondary-school-teacher,mathematics,mathematical-analysis,algebra,236,
237,http://www.wikidata.org/entity/Q102158256,astronomer,mathematician,civil-servant,NA,NA,NA,237,
238,http://www.wikidata.org/entity/Q102161246,physicist,university-teacher,NA,NA,NA,NA,238,
239,http://www.wikidata.org/entity/Q102162483,physicist,NA,NA,NA,NA,NA,239,
240,http://www.wikidata.org/entity/Q102162901,physicist,professor-of-mathematics,NA,NA,NA,NA,240,
241,http://www.wikidata.org/entity/Q102163370,physicist,university-teacher,NA,NA,NA,NA,241,
242,http://www.wikidata.org/entity/Q102163470,physicist,mathematician,astrophysicist,NA,NA,NA,242,
243,http://www.wikidata.org/entity/Q102164962,physicist,university-teacher,NA,NA,NA,NA,243,
244,http://www.wikidata.org/entity/Q102165090,physicist,university-teacher,engineer,physics,electromagnetic-field,power-engineering,244,
245,http://www.wikidata.org/entity/Q102165498,physicist,NA,NA,NA,NA,NA,245,
246,http://www.wikidata.org/entity/Q102165499,physicist,NA,NA,NA,NA,NA,246,
247,http://www.wikidata.org/entity/Q102165775,physicist,NA,NA,NA,NA,NA,247,
248,http://www.wikidata.org/entity/Q102166298,physicist,university-teacher,mathematician,physics,mathematics,astrophysics,248,
249,http://www.wikidata.org/entity/Q102166596,physicist,mathematician,NA,NA,NA,NA,249,
250,http://www.wikidata.org/entity/Q102167001,physicist,university-teacher,mathematician,radiology,holography,medical-image-computing,250,
251,http://www.wikidata.org/entity/Q102167326,physicist,university-teacher,academic-administrator,NA,NA,NA,251,
252,http://www.wikidata.org/entity/Q102167539,physicist,NA,NA,NA,NA,NA,252,
253,http://www.wikidata.org/entity/Q102169005,physicist,NA,NA,NA,NA,NA,253,
254,http://www.wikidata.org/entity/Q102169582,physicist,NA,NA,NA,NA,NA,254,
255,http://www.wikidata.org/entity/Q102169857,physicist,NA,NA,NA,NA,NA,255,
256,http://www.wikidata.org/entity/Q102170148,physicist,NA,NA,NA,NA,NA,256,
257,http://www.wikidata.org/entity/Q102170488,physicist,NA,NA,NA,NA,NA,257,
258,http://www.wikidata.org/entity/Q102170547,physicist,university-teacher,NA,NA,NA,NA,258,
259,http://www.wikidata.org/entity/Q102172368,physicist,mathematician,historian,NA,NA,NA,259,
260,http://www.wikidata.org/entity/Q102172505,physicist,university-teacher,NA,NA,NA,NA,260,
261,http://www.wikidata.org/entity/Q102174341,physicist,mathematician,NA,NA,NA,NA,261,
262,http://www.wikidata.org/entity/Q102177471,physicist,university-teacher,mathematician,mathematical-physics,mathematical-statistics,probability,262,
263,http://www.wikidata.org/entity/Q102179102,physicist,university-teacher,mathematician,NA,NA,NA,263,
264,http://www.wikidata.org/entity/Q102179469,physicist,mathematician,NA,NA,NA,NA,264,
265,http://www.wikidata.org/entity/Q102181178,physicist,mathematician,NA,NA,NA,NA,265,
266,http://www.wikidata.org/entity/Q102181181,physicist,mathematician,NA,NA,NA,NA,266,
267,http://www.wikidata.org/entity/Q102185792,physicist,university-teacher,NA,physics,theoretical-physics,NA,267,
268,http://www.wikidata.org/entity/Q102186495,NA,mathematician,researcher,physics,mathematics,NA,268,
269,http://www.wikidata.org/entity/Q102188,physicist,NA,NA,physics,NA,NA,269,
270,http://www.wikidata.org/entity/Q102191088,NA,university-teacher,mathematician,physics,mathematics,NA,270,
271,http://www.wikidata.org/entity/Q102191421,physicist,university-teacher,NA,NA,NA,NA,271,
272,http://www.wikidata.org/entity/Q102192930,astronomer,researcher,NA,NA,NA,NA,272,
273,http://www.wikidata.org/entity/Q102193438,physicist,university-teacher,NA,NA,NA,NA,273,
274,http://www.wikidata.org/entity/Q102193537,astronomer,NA,NA,NA,NA,NA,274,
275,http://www.wikidata.org/entity/Q102193553,astronomer,mathematician,NA,NA,NA,NA,275,
276,http://www.wikidata.org/entity/Q102197033,physicist,NA,NA,NA,NA,NA,276,
277,http://www.wikidata.org/entity/Q102198350,astronomer,mathematician,cryptographer,NA,NA,NA,277,
278,http://www.wikidata.org/entity/Q102200305,physicist,teacher,applied-mathematician,NA,NA,NA,278,
279,http://www.wikidata.org/entity/Q102202295,physicist,NA,NA,NA,NA,NA,279,
280,http://www.wikidata.org/entity/Q102205439,physicist,university-teacher,NA,NA,NA,NA,280,
281,http://www.wikidata.org/entity/Q102208822,physicist,NA,NA,NA,NA,NA,281,
282,http://www.wikidata.org/entity/Q102214,physicist,university-teacher,NA,NA,NA,NA,282,
283,http://www.wikidata.org/entity/Q102214497,physicist,NA,NA,NA,NA,NA,283,
284,http://www.wikidata.org/entity/Q102215900,physicist,university-teacher,NA,NA,NA,NA,284,
285,http://www.wikidata.org/entity/Q102218461,physicist,university-teacher,NA,NA,NA,NA,285,
286,http://www.wikidata.org/entity/Q102218490,physicist,university-teacher,mathematician,quantum-field-theory,superstring-theory,algebraic-geometry,286,
287,http://www.wikidata.org/entity/Q102218625,astronomer,researcher,NA,NA,NA,NA,287,
288,http://www.wikidata.org/entity/Q102221265,physicist,NA,NA,NA,NA,NA,288,
289,http://www.wikidata.org/entity/Q102221801,astronomer,NA,NA,astronomy,NA,NA,289,
290,http://www.wikidata.org/entity/Q102224560,physicist,NA,NA,NA,NA,NA,290,
