"pk_person_features","person_uri","occupation_main","occupation_sec1","coded_employer"
532,http://www.wikidata.org/entity/Q102386253,astronomer,university-teacher,education
533,http://www.wikidata.org/entity/Q102390510,physicist,computer-scientist,agency
541,http://www.wikidata.org/entity/Q102397621,physicist,university-teacher,education
543,http://www.wikidata.org/entity/Q102398327,physicist,university-teacher,education
546,http://www.wikidata.org/entity/Q102401172,physicist,university-teacher,education
551,http://www.wikidata.org/entity/Q102403759,physicist,electrical-engineer,enterprise
563,http://www.wikidata.org/entity/Q102410432,physicist,university-teacher,education
572,http://www.wikidata.org/entity/Q102417662,physicist,mathematician,school
574,http://www.wikidata.org/entity/Q102418151,physicist,university-teacher,enterprise
578,http://www.wikidata.org/entity/Q102421532,physicist,university-teacher,institute
580,http://www.wikidata.org/entity/Q102422345,physicist,university-teacher,institute
584,http://www.wikidata.org/entity/Q102427685,physicist,university-teacher,publisher
606,http://www.wikidata.org/entity/Q102438736,astronomer,university-teacher,education
608,http://www.wikidata.org/entity/Q102440063,physicist,statistician,education
611,http://www.wikidata.org/entity/Q102441380,physicist,university-teacher,education
612,http://www.wikidata.org/entity/Q102442,physicist,university-teacher,institute
616,http://www.wikidata.org/entity/Q102443634,physicist,university-teacher,education
618,http://www.wikidata.org/entity/Q102455407,physicist,university-teacher,organization
622,http://www.wikidata.org/entity/Q102491,physicist,university-teacher,publisher
623,http://www.wikidata.org/entity/Q102491213,physicist,university-teacher,education
627,http://www.wikidata.org/entity/Q102508234,physicist,university-teacher,education
630,http://www.wikidata.org/entity/Q102513608,physicist,university-teacher,publisher
633,http://www.wikidata.org/entity/Q102549985,physicist,university-teacher,publisher
634,http://www.wikidata.org/entity/Q102554833,physicist,university-teacher,education
636,http://www.wikidata.org/entity/Q102609819,physicist,mathematician,institute
639,http://www.wikidata.org/entity/Q102640837,physicist,university-teacher,education
641,http://www.wikidata.org/entity/Q102666000,physicist,university-teacher,education
643,http://www.wikidata.org/entity/Q102685534,physicist,university-teacher,school
644,http://www.wikidata.org/entity/Q102690249,physicist,computer-scientist,publisher
647,http://www.wikidata.org/entity/Q102701890,astronomer,astrophysicist,institute
648,http://www.wikidata.org/entity/Q10270456,physicist,university-teacher,education
649,http://www.wikidata.org/entity/Q102707780,physicist,university-teacher,education
652,http://www.wikidata.org/entity/Q10272093,physicist,engineer,publisher
655,http://www.wikidata.org/entity/Q102748469,physicist,university-teacher,education
656,http://www.wikidata.org/entity/Q102750841,astronomer,university-teacher,publisher
658,http://www.wikidata.org/entity/Q10278163,astronomer,professor,other
664,http://www.wikidata.org/entity/Q10281290,physicist,electrical-engineer,institute
666,http://www.wikidata.org/entity/Q102822,physicist,university-teacher,publisher
670,http://www.wikidata.org/entity/Q102830,physicist,researcher,education
671,http://www.wikidata.org/entity/Q10283115,physicist,politician,education
672,http://www.wikidata.org/entity/Q102844385,physicist,meteorologist,education
678,http://www.wikidata.org/entity/Q10288979,physicist,university-teacher,education
682,http://www.wikidata.org/entity/Q10289525,physicist,university-teacher,publisher
684,http://www.wikidata.org/entity/Q10289868,physicist,mechanical-engineer,publisher
687,http://www.wikidata.org/entity/Q102927245,physicist,university-teacher,education
694,http://www.wikidata.org/entity/Q102940871,astronomer,researcher,university
702,http://www.wikidata.org/entity/Q10294728,astronomer,civil-engineer,institution
707,http://www.wikidata.org/entity/Q1029521,physicist,poet,institute
710,http://www.wikidata.org/entity/Q102963079,physicist,university-teacher,education
713,http://www.wikidata.org/entity/Q102973517,physicist,computer-scientist,institute
715,http://www.wikidata.org/entity/Q1029824,physicist,university-teacher,institute
716,http://www.wikidata.org/entity/Q102983,physicist,university-teacher,publisher
719,http://www.wikidata.org/entity/Q1030183,physicist,university-teacher,education
720,http://www.wikidata.org/entity/Q1030228,physicist,university-teacher,publisher
725,http://www.wikidata.org/entity/Q10305137,physicist,university-teacher,education
727,http://www.wikidata.org/entity/Q10307456,physicist,university-teacher,publisher
732,http://www.wikidata.org/entity/Q103092815,astronomer,university-teacher,education
734,http://www.wikidata.org/entity/Q103092852,physicist,astrophysicist,facility
735,http://www.wikidata.org/entity/Q103098565,physicist,mathematician,institute
739,http://www.wikidata.org/entity/Q10312121,physicist,catholic-priest,institute
741,http://www.wikidata.org/entity/Q10313342,physicist,writer,education
742,http://www.wikidata.org/entity/Q103135119,physicist,university-teacher,GLAM
744,http://www.wikidata.org/entity/Q103149402,physicist,university-teacher,education
745,http://www.wikidata.org/entity/Q103152807,physicist,university-teacher,education
750,http://www.wikidata.org/entity/Q10317307,astronomer,university-teacher,education
751,http://www.wikidata.org/entity/Q103181,physicist,university-teacher,university
760,http://www.wikidata.org/entity/Q103232929,physicist,university-teacher,education
761,http://www.wikidata.org/entity/Q103233248,physicist,university-teacher,education
763,http://www.wikidata.org/entity/Q10324424,astronomer,researcher,institute
779,http://www.wikidata.org/entity/Q103278171,physicist,university-teacher,education
783,http://www.wikidata.org/entity/Q1032963,physicist,university-teacher,education
784,http://www.wikidata.org/entity/Q1033005,physicist,university-teacher,education
785,http://www.wikidata.org/entity/Q1033146,physicist,university-teacher,publisher
786,http://www.wikidata.org/entity/Q103314965,physicist,university-teacher,education
787,http://www.wikidata.org/entity/Q103315478,physicist,consultant,enterprise
788,http://www.wikidata.org/entity/Q103318504,physicist,university-teacher,education
790,http://www.wikidata.org/entity/Q103323288,physicist,university-teacher,education
798,http://www.wikidata.org/entity/Q103334055,physicist,writer,education
800,http://www.wikidata.org/entity/Q103334428,physicist,university-teacher,education
801,http://www.wikidata.org/entity/Q103335446,physicist,university-teacher,university
803,http://www.wikidata.org/entity/Q103341332,physicist,civil-servant,institute
804,http://www.wikidata.org/entity/Q103342979,physicist,university-teacher,university
810,http://www.wikidata.org/entity/Q103371185,physicist,university-teacher,organization
813,http://www.wikidata.org/entity/Q10342185,physicist,university-teacher,education
815,http://www.wikidata.org/entity/Q103464,physicist,university-teacher,institute
820,http://www.wikidata.org/entity/Q10348961,physicist,writer,education
823,http://www.wikidata.org/entity/Q10357328,physicist,university-teacher,publisher
825,http://www.wikidata.org/entity/Q103600,physicist,university-teacher,publisher
828,http://www.wikidata.org/entity/Q103614,physicist,theoretical-physicist,education
832,http://www.wikidata.org/entity/Q10365123,astronomer,writer,education
833,http://www.wikidata.org/entity/Q10366319,physicist,writer,publisher
834,http://www.wikidata.org/entity/Q103722,physicist,university-teacher,education
839,http://www.wikidata.org/entity/Q10376164,physicist,university-teacher,publisher
842,http://www.wikidata.org/entity/Q10380514,astronomer,university-teacher,publisher
845,http://www.wikidata.org/entity/Q103815030,physicist,university-teacher,publisher
846,http://www.wikidata.org/entity/Q103821110,physicist,university-teacher,institute
849,http://www.wikidata.org/entity/Q103831049,physicist,data-scientist,publisher
850,http://www.wikidata.org/entity/Q103832784,physicist,university-teacher,university
853,http://www.wikidata.org/entity/Q103835,physicist,university-teacher,education
854,http://www.wikidata.org/entity/Q103842,physicist,university-teacher,publisher
856,http://www.wikidata.org/entity/Q103854,physicist,nuclear-physicist,education
857,http://www.wikidata.org/entity/Q1038891,physicist,university-teacher,publisher
858,http://www.wikidata.org/entity/Q1039611,physicist,university-teacher,education
860,http://www.wikidata.org/entity/Q103994604,astronomer,non-fiction-writer,publisher
861,http://www.wikidata.org/entity/Q104013,physicist,university-teacher,publisher
865,http://www.wikidata.org/entity/Q1040160,physicist,university-teacher,education
873,http://www.wikidata.org/entity/Q104052539,astronomer,university-teacher,publisher
877,http://www.wikidata.org/entity/Q104052728,physicist,university-teacher,publisher
882,http://www.wikidata.org/entity/Q104076205,physicist,university-teacher,university
883,http://www.wikidata.org/entity/Q104080,physicist,university-teacher,institute
885,http://www.wikidata.org/entity/Q104093311,physicist,university-teacher,education
886,http://www.wikidata.org/entity/Q1040968,astronomer,researcher,education
887,http://www.wikidata.org/entity/Q104104,physicist,scientist,education
889,http://www.wikidata.org/entity/Q104115840,astronomer,science-writer,center
890,http://www.wikidata.org/entity/Q104126040,physicist,electrical-engineer,institute
894,http://www.wikidata.org/entity/Q104154,astronomer,mathematician,college
895,http://www.wikidata.org/entity/Q104155,physicist,university-teacher,publisher
902,http://www.wikidata.org/entity/Q104187964,physicist,university-teacher,publisher
903,http://www.wikidata.org/entity/Q104189,physicist,crystallographer,university
904,http://www.wikidata.org/entity/Q1042026,astronomer,astrophysicist,education
905,http://www.wikidata.org/entity/Q104208000,astronomer,programmer,institute
908,http://www.wikidata.org/entity/Q104223,physicist,biophysicist,institute
910,http://www.wikidata.org/entity/Q104245681,physicist,university-teacher,publisher
911,http://www.wikidata.org/entity/Q104246683,physicist,university-teacher,publisher
912,http://www.wikidata.org/entity/Q1042470,physicist,university-teacher,education
916,http://www.wikidata.org/entity/Q1042912,astronomer,university-teacher,education
917,http://www.wikidata.org/entity/Q1043437,physicist,university-teacher,education
919,http://www.wikidata.org/entity/Q104419668,physicist,university-teacher,institute
920,http://www.wikidata.org/entity/Q104438552,physicist,historian-of-physics,publisher
921,http://www.wikidata.org/entity/Q104450,astronomer,university-teacher,university
923,http://www.wikidata.org/entity/Q104494650,astronomer,university-teacher,institute
928,http://www.wikidata.org/entity/Q104552668,physicist,researcher,institute
930,http://www.wikidata.org/entity/Q104596,physicist,nuclear-physicist,publisher
932,http://www.wikidata.org/entity/Q104607,physicist,physician,education
933,http://www.wikidata.org/entity/Q104612434,physicist,researcher,university
937,http://www.wikidata.org/entity/Q104651,astronomer,researcher,education
941,http://www.wikidata.org/entity/Q104668,physicist,university-teacher,institute
948,http://www.wikidata.org/entity/Q104698409,physicist,university-teacher,publisher
955,http://www.wikidata.org/entity/Q104722678,physicist,historian-of-science,institute
960,http://www.wikidata.org/entity/Q104742,astronomer,university-teacher,university
965,http://www.wikidata.org/entity/Q104779,physicist,inventor,institute
968,http://www.wikidata.org/entity/Q1047890,physicist,university-teacher,university
971,http://www.wikidata.org/entity/Q104812784,physicist,university-teacher,education
974,http://www.wikidata.org/entity/Q104816891,physicist,research-fellow,institute
977,http://www.wikidata.org/entity/Q104834784,physicist,space-scientist,education
983,http://www.wikidata.org/entity/Q1048660,physicist,inventor,education
990,http://www.wikidata.org/entity/Q104889413,physicist,chemist,education
992,http://www.wikidata.org/entity/Q104904002,physicist,university-teacher,institute
994,http://www.wikidata.org/entity/Q104914951,physicist,mechanical-engineer,publisher
995,http://www.wikidata.org/entity/Q104923649,physicist,mathematician,organization
996,http://www.wikidata.org/entity/Q10492595,physicist,docent,agency
1016,http://www.wikidata.org/entity/Q105082251,physicist,university-teacher,education
1018,http://www.wikidata.org/entity/Q105085305,physicist,professor,institute
1022,http://www.wikidata.org/entity/Q1051008,physicist,university-teacher,organization
1027,http://www.wikidata.org/entity/Q105128,physicist,university-teacher,publisher
1033,http://www.wikidata.org/entity/Q1052394,physicist,university-teacher,agency
1035,http://www.wikidata.org/entity/Q1052424,physicist,university-teacher,education
1037,http://www.wikidata.org/entity/Q105243679,physicist,academic,publisher
1038,http://www.wikidata.org/entity/Q105243712,physicist,scientist,organization
1039,http://www.wikidata.org/entity/Q105248311,physicist,university-teacher,education
1041,http://www.wikidata.org/entity/Q105258821,astronomer,astrophysicist,publisher
1042,http://www.wikidata.org/entity/Q105274802,physicist,university-teacher,institute
1045,http://www.wikidata.org/entity/Q105302199,physicist,university-teacher,publisher
1046,http://www.wikidata.org/entity/Q105330482,physicist,academic,enterprise
1047,http://www.wikidata.org/entity/Q105333684,physicist,university-teacher,education
1050,http://www.wikidata.org/entity/Q105339,physicist,university-teacher,institute
1052,http://www.wikidata.org/entity/Q10535582,physicist,university-teacher,institute
1054,http://www.wikidata.org/entity/Q105393,physicist,university-teacher,publisher
1058,http://www.wikidata.org/entity/Q105400,physicist,university-teacher,agency
1062,http://www.wikidata.org/entity/Q105412,physicist,university-teacher,publisher
1067,http://www.wikidata.org/entity/Q105425387,astronomer,writer,organization
1073,http://www.wikidata.org/entity/Q105440975,physicist,university-teacher,education
1078,http://www.wikidata.org/entity/Q105476757,physicist,director-of-research-at-cnrs,publisher
1079,http://www.wikidata.org/entity/Q105483,physicist,university-teacher,institute
1080,http://www.wikidata.org/entity/Q105510806,physicist,university-teacher,publisher
1083,http://www.wikidata.org/entity/Q105528263,physicist,university-teacher,publisher
1084,http://www.wikidata.org/entity/Q105531536,physicist,university-teacher,publisher
1087,http://www.wikidata.org/entity/Q105550482,physicist,university-teacher,education
1089,http://www.wikidata.org/entity/Q105561,physicist,university-teacher,publisher
1093,http://www.wikidata.org/entity/Q10556986,physicist,university-teacher,organization
1094,http://www.wikidata.org/entity/Q105570075,physicist,professeur-des-universités,education
1096,http://www.wikidata.org/entity/Q105571955,physicist,lecturer,publisher
1097,http://www.wikidata.org/entity/Q105604582,physicist,particle-physicist,education
1099,http://www.wikidata.org/entity/Q1056066,physicist,electrical-engineer,university
1101,http://www.wikidata.org/entity/Q105609407,physicist,university-teacher,publisher
1102,http://www.wikidata.org/entity/Q105612143,physicist,university-teacher,university
1106,http://www.wikidata.org/entity/Q105622968,physicist,university-teacher,education
1107,http://www.wikidata.org/entity/Q105623,physicist,university-teacher,university
1113,http://www.wikidata.org/entity/Q105646,physicist,university-teacher,publisher
1116,http://www.wikidata.org/entity/Q105660187,physicist,university-teacher,academy
1117,http://www.wikidata.org/entity/Q105662249,physicist,diplomat,education
1124,http://www.wikidata.org/entity/Q105694887,physicist,postdoctoral-researcher,organization
1126,http://www.wikidata.org/entity/Q105701844,physicist,chemist,publisher
1133,http://www.wikidata.org/entity/Q105714642,astronomer,university-teacher,institute
1134,http://www.wikidata.org/entity/Q105722286,physicist,university-teacher,education
1136,http://www.wikidata.org/entity/Q105731698,physicist,researcher,publisher
1139,http://www.wikidata.org/entity/Q105736254,physicist,researcher,university
1142,http://www.wikidata.org/entity/Q105748466,physicist,university-teacher,publisher
1145,http://www.wikidata.org/entity/Q105761,physicist,university-teacher,institute
1159,http://www.wikidata.org/entity/Q105840,physicist,university-teacher,publisher
1160,http://www.wikidata.org/entity/Q105840092,astronomer,photographer,enterprise
1166,http://www.wikidata.org/entity/Q105941942,physicist,university-teacher,publisher
1167,http://www.wikidata.org/entity/Q105943564,physicist,university-teacher,publisher
1169,http://www.wikidata.org/entity/Q105952475,physicist,theoretical-physicist,institute
1171,http://www.wikidata.org/entity/Q105953917,physicist,researcher,education
1173,http://www.wikidata.org/entity/Q105955496,physicist,university-teacher,university
1176,http://www.wikidata.org/entity/Q105962,physicist,researcher,university
1177,http://www.wikidata.org/entity/Q105965050,physicist,university-teacher,publisher
1178,http://www.wikidata.org/entity/Q105972464,physicist,university-teacher,university
1179,http://www.wikidata.org/entity/Q105973595,astronomer,astrophysicist,university
1181,http://www.wikidata.org/entity/Q105986,physicist,university-teacher,education
1185,http://www.wikidata.org/entity/Q106032496,physicist,university-teacher,institute
1187,http://www.wikidata.org/entity/Q1060395,physicist,university-teacher,publisher
1192,http://www.wikidata.org/entity/Q106105,astronomer,naturalist,publisher
1193,http://www.wikidata.org/entity/Q106114014,physicist,university-teacher,institute
1194,http://www.wikidata.org/entity/Q106117,astronomer,university-teacher,publisher
1199,http://www.wikidata.org/entity/Q106187372,physicist,university-teacher,publisher
1204,http://www.wikidata.org/entity/Q106199530,physicist,mathematician,institution
1207,http://www.wikidata.org/entity/Q1062470,physicist,nuclear-physicist,education
1209,http://www.wikidata.org/entity/Q106258,astronomer,university-teacher,school
1215,http://www.wikidata.org/entity/Q106299612,physicist,researcher,organization
1219,http://www.wikidata.org/entity/Q106323574,physicist,university-teacher,publisher
1225,http://www.wikidata.org/entity/Q1063692,physicist,university-teacher,publisher
1226,http://www.wikidata.org/entity/Q106369843,physicist,researcher,institution
1235,http://www.wikidata.org/entity/Q106392243,physicist,university-teacher,education
1241,http://www.wikidata.org/entity/Q106406926,physicist,engineer,institute
1244,http://www.wikidata.org/entity/Q1064280,physicist,university-teacher,publisher
1246,http://www.wikidata.org/entity/Q106434173,physicist,business-executive,enterprise
1247,http://www.wikidata.org/entity/Q106448612,physicist,mathematician,education
1248,http://www.wikidata.org/entity/Q1064506,physicist,university-teacher,publisher
1250,http://www.wikidata.org/entity/Q106452821,physicist,university-teacher,university
1251,http://www.wikidata.org/entity/Q106454,astronomer,researcher,education
1259,http://www.wikidata.org/entity/Q106466072,physicist,scientist,publisher
1261,http://www.wikidata.org/entity/Q106466566,astronomer,astrophysicist,institute
1264,http://www.wikidata.org/entity/Q106482909,astronomer,radio-astronomer,organization
1270,http://www.wikidata.org/entity/Q106494,physicist,university-teacher,education
1272,http://www.wikidata.org/entity/Q106497963,physicist,university-teacher,education
1273,http://www.wikidata.org/entity/Q106502133,physicist,university-teacher,publisher
1274,http://www.wikidata.org/entity/Q106507132,physicist,astrophysicist,education
1275,http://www.wikidata.org/entity/Q106511861,physicist,university-teacher,agency
1279,http://www.wikidata.org/entity/Q106516,physicist,university-teacher,publisher
1281,http://www.wikidata.org/entity/Q1065189,physicist,university-teacher,education
1282,http://www.wikidata.org/entity/Q1065219,astronomer,researcher,education
1283,http://www.wikidata.org/entity/Q1065222,physicist,university-teacher,education
1284,http://www.wikidata.org/entity/Q106522887,physicist,university-teacher,university
1287,http://www.wikidata.org/entity/Q106547,physicist,researcher,education
1288,http://www.wikidata.org/entity/Q106559,astronomer,mathematician,education
1295,http://www.wikidata.org/entity/Q1065789,astronomer,writer,publisher
1296,http://www.wikidata.org/entity/Q1065824,astronomer,university-teacher,education
1300,http://www.wikidata.org/entity/Q1066053,physicist,university-teacher,education
1304,http://www.wikidata.org/entity/Q106614512,physicist,university-teacher,facility
1305,http://www.wikidata.org/entity/Q106620,physicist,university-teacher,agency
1307,http://www.wikidata.org/entity/Q106621,physicist,university-teacher,agency
1308,http://www.wikidata.org/entity/Q106624,physicist,university-teacher,education
1310,http://www.wikidata.org/entity/Q1066258,astronomer,civil-servant,GLAM
1321,http://www.wikidata.org/entity/Q106652644,physicist,botanist,academy
