"label","o1","class"
"George William Hill","http://dbpedia.org/resource/George_William_Hill",1
"Georges Lemaître","http://dbpedia.org/resource/Georges_Lemaître",1
"Halton Arp","http://dbpedia.org/resource/Halton_Arp",1
"Hannes Alfvén","http://dbpedia.org/resource/Hannes_Alfvén",1
"Hans-Emil Schuster","http://dbpedia.org/resource/Hans-Emil_Schuster",1
"Hans-Walter Rix","http://dbpedia.org/resource/Hans-Walter_Rix",1
"Hans Bethe","http://dbpedia.org/resource/Hans_Bethe",1
"Harlow Shapley","http://dbpedia.org/resource/Harlow_Shapley",1
"Harold Spencer Jones","http://dbpedia.org/resource/Harold_Spencer_Jones",1
"Bimla Buti","http://dbpedia.org/resource/Bimla_Buti",1
"Sallie Baliunas","http://dbpedia.org/resource/Sallie_Baliunas",1
"Samuel Molyneux","http://dbpedia.org/resource/Samuel_Molyneux",1
"Samuel Pierpont Langley","http://dbpedia.org/resource/Samuel_Pierpont_Langley",1
"Takao Kobayashi","http://dbpedia.org/resource/Takao_Kobayashi",1
"Takeshi Urata","http://dbpedia.org/resource/Takeshi_Urata",1
"Wilhelm Anderson","http://dbpedia.org/resource/Wilhelm_Anderson",1
"Wilhelm Beer","http://dbpedia.org/resource/Wilhelm_Beer",1
"Will Hay","http://dbpedia.org/resource/Will_Hay",1
"Willebrord Snellius","http://dbpedia.org/resource/Willebrord_Snellius",1
"Willem de Sitter","http://dbpedia.org/resource/Willem_de_Sitter",1
"William A. Bradfield","http://dbpedia.org/resource/William_A._Bradfield",1
"William Alfred Fowler","http://dbpedia.org/resource/William_Alfred_Fowler",1
"William Cranch Bond","http://dbpedia.org/resource/William_Cranch_Bond",1
"William Frederick Denning","http://dbpedia.org/resource/William_Frederick_Denning",1
"William Henry Pickering","http://dbpedia.org/resource/William_Henry_Pickering",1
"William Henry Smyth","http://dbpedia.org/resource/William_Henry_Smyth",1
"William Herschel","http://dbpedia.org/resource/William_Herschel",1
"William Huggins","http://dbpedia.org/resource/William_Huggins",1
"William Kenneth Hartmann","http://dbpedia.org/resource/William_Kenneth_Hartmann",1
"William Lassell","http://dbpedia.org/resource/William_Lassell",1
"William Parsons, 3rd Earl of Rosse","http://dbpedia.org/resource/William_Parsons,_3rd_Earl_of_Rosse",1
"William Robert Brooks","http://dbpedia.org/resource/William_Robert_Brooks",1
"William Rutter Dawes","http://dbpedia.org/resource/William_Rutter_Dawes",1
"William Wallace Campbell","http://dbpedia.org/resource/William_Wallace_Campbell",1
"Elia Millosevich","http://dbpedia.org/resource/Elia_Millosevich",1
"Fernand Rigaux","http://dbpedia.org/resource/Fernand_Rigaux",1
"Heinrich Christian Schumacher","http://dbpedia.org/resource/Heinrich_Christian_Schumacher",1
"Lipót Schulhof","http://dbpedia.org/resource/Lipót_Schulhof",1
"Satoru Otomo","http://dbpedia.org/resource/Satoru_Otomo",1
"Kidinnu","http://dbpedia.org/resource/Kidinnu",1
"Harold Alden","http://dbpedia.org/resource/Harold_Alden",1
"Terence Dickinson","http://dbpedia.org/resource/Terence_Dickinson",1
"William Marshall Smart","http://dbpedia.org/resource/William_Marshall_Smart",1
"Angelo Secchi","http://dbpedia.org/resource/Angelo_Secchi",1
"Anna Winlock","http://dbpedia.org/resource/Anna_Winlock",1
"Anne Barbara Underhill","http://dbpedia.org/resource/Anne_Barbara_Underhill",1
"Anne Sewell Young","http://dbpedia.org/resource/Anne_Sewell_Young",1
"Anneila Sargent","http://dbpedia.org/resource/Anneila_Sargent",1
"Annibale de Gasparis","http://dbpedia.org/resource/Annibale_de_Gasparis",1
"Annie Jump Cannon","http://dbpedia.org/resource/Annie_Jump_Cannon",1
"Antonia Maury","http://dbpedia.org/resource/Antonia_Maury",1
