"subject_uri","property_uri","object_uri","label","import_metadata"
"http://dbpedia.org/resource/Luca_de_Samuele_Cagnazzi","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Professor","Professor","20221201_1"
"http://dbpedia.org/resource/Luca_de_Samuele_Cagnazzi","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Legislator","Legislator","20221201_1"
"http://dbpedia.org/resource/Thomas_Norris_(1765–1852)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Thomas_Norris_(1765–1852)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Private_collection","Private collection","20221201_1"
"http://dbpedia.org/resource/Francisco_José_de_Caldas","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Geographer","Geographer","20221201_1"
"http://dbpedia.org/resource/Francisco_José_de_Caldas","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Writer","Writer","20221201_1"
"http://dbpedia.org/resource/Francisco_José_de_Caldas","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Botanist","Botanist","20221201_1"
"http://dbpedia.org/resource/Francisco_José_de_Caldas","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Botany","Botany","20221201_1"
"http://dbpedia.org/resource/Francisco_José_de_Caldas","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Francisco_José_de_Caldas","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Military_engineering","Military engineering","20221201_1"
"http://dbpedia.org/resource/Francisco_José_de_Caldas","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Military_Engineering","Military Engineering","20221201_1"
"http://dbpedia.org/resource/William_Gooch_(astronomer)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
